algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
WIDA*, pdb555, 1.5, 15puzzle,"7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14", 57, 64.5, 13006, 0.00305323, 4.25976e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3", 59, 64.5, 50836, 0.0103596, 4.90712e+06
WIDA*, pdb555, 1.5, 15puzzle,"13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6", 61, 64.5, 36756, 0.00824644, 4.4572e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15", 61, 61.5, 352060, 0.074297, 4.73855e+06
WIDA*, pdb555, 1.5, 15puzzle,"5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6", 62, 63, 101541, 0.020186, 5.03028e+06
WIDA*, pdb555, 1.5, 15puzzle,"4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B", 60, 63, 68098, 0.0136244, 4.99824e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13", 56, 54, 69467, 0.0148185, 4.68785e+06
WIDA*, pdb555, 1.5, 15puzzle,"2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B", 54, 51, 22188, 0.00479134, 4.63085e+06
WIDA*, pdb555, 1.5, 15puzzle,"12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7", 56, 48, 1338241, 0.265878, 5.0333e+06
WIDA*, pdb555, 1.5, 15puzzle,"3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B", 50, 54, 34506, 0.00707109, 4.87987e+06
WIDA*, pdb555, 1.5, 15puzzle,"13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1", 63, 67.5, 6242, 0.00136672, 4.56715e+06
WIDA*, pdb555, 1.5, 15puzzle,"5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1", 61, 64.5, 44937, 0.0101231, 4.43904e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15", 51, 52.5, 11251, 0.00251331, 4.47657e+06
WIDA*, pdb555, 1.5, 15puzzle,"3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7", 50, 54, 719861, 0.139502, 5.16023e+06
WIDA*, pdb555, 1.5, 15puzzle,"7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12", 63, 64.5, 200207, 0.0394644, 5.0731e+06
WIDA*, pdb555, 1.5, 15puzzle,"13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B", 66, 66, 145156, 0.0349591, 4.15216e+06
WIDA*, pdb555, 1.5, 15puzzle,"1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B", 46, 39, 630484, 0.126641, 4.97853e+06
WIDA*, pdb555, 1.5, 15puzzle,"15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12", 72, 69, 325672, 0.0706212, 4.61154e+06
WIDA*, pdb555, 1.5, 15puzzle,"6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13", 63, 64.5, 166930, 0.0337155, 4.95114e+06
WIDA*, pdb555, 1.5, 15puzzle,"7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10", 52, 57, 112650, 0.0231507, 4.86594e+06
WIDA*, pdb555, 1.5, 15puzzle,"6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B", 54, 54, 79697, 0.0160231, 4.97387e+06
WIDA*, pdb555, 1.5, 15puzzle,"12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2", 58, 57, 166187, 0.0350347, 4.7435e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6", 61, 64.5, 328993, 0.0646863, 5.08597e+06
WIDA*, pdb555, 1.5, 15puzzle,"10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12", 53, 55.5, 110242, 0.0214029, 5.15079e+06
WIDA*, pdb555, 1.5, 15puzzle,"7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B", 54, 54, 109173, 0.022141, 4.9308e+06
WIDA*, pdb555, 1.5, 15puzzle,"11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12", 52, 54, 6522, 0.00149648, 4.35823e+06
WIDA*, pdb555, 1.5, 15puzzle,"5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11", 58, 60, 194023, 0.0389343, 4.98334e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11", 55, 52.5, 456409, 0.0909787, 5.01666e+06
WIDA*, pdb555, 1.5, 15puzzle,"13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7", 58, 54, 114668, 0.0227511, 5.04012e+06
WIDA*, pdb555, 1.5, 15puzzle,"9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12", 60, 60, 196005, 0.0408618, 4.79678e+06
WIDA*, pdb555, 1.5, 15puzzle,"12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11", 53, 52.5, 20724, 0.00443958, 4.66801e+06
WIDA*, pdb555, 1.5, 15puzzle,"12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10", 54, 60, 13307, 0.00298305, 4.46087e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15", 61, 64.5, 38628, 0.0078543, 4.91807e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8", 62, 66, 293347, 0.061241, 4.79004e+06
WIDA*, pdb555, 1.5, 15puzzle,"6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15", 58, 60, 46032, 0.00977952, 4.70698e+06
WIDA*, pdb555, 1.5, 15puzzle,"1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10", 59, 58.5, 338184, 0.0693618, 4.87565e+06
WIDA*, pdb555, 1.5, 15puzzle,"12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10", 54, 54, 292602, 0.057845, 5.05838e+06
WIDA*, pdb555, 1.5, 15puzzle,"8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4", 60, 63, 33299, 0.00693726, 4.80002e+06
WIDA*, pdb555, 1.5, 15puzzle,"9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2", 51, 52.5, 136180, 0.0273729, 4.97499e+06
WIDA*, pdb555, 1.5, 15puzzle,"11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8", 58, 57, 353292, 0.0699313, 5.05199e+06
WIDA*, pdb555, 1.5, 15puzzle,"8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7", 58, 57, 37928, 0.00763576, 4.96715e+06
WIDA*, pdb555, 1.5, 15puzzle,"4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10", 50, 48, 57967, 0.0113084, 5.12602e+06
WIDA*, pdb555, 1.5, 15puzzle,"11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B", 70, 72, 77749, 0.0158592, 4.90246e+06
WIDA*, pdb555, 1.5, 15puzzle,"12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13", 54, 51, 508329, 0.103171, 4.92708e+06
WIDA*, pdb555, 1.5, 15puzzle,"3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13", 57, 58.5, 21770, 0.004699, 4.6329e+06
WIDA*, pdb555, 1.5, 15puzzle,"8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11", 49, 52.5, 15686, 0.00339574, 4.61932e+06
WIDA*, pdb555, 1.5, 15puzzle,"6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12", 55, 55.5, 28827, 0.00611326, 4.71548e+06
WIDA*, pdb555, 1.5, 15puzzle,"8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14", 59, 61.5, 63196, 0.0126363, 5.00117e+06
WIDA*, pdb555, 1.5, 15puzzle,"10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8", 59, 58.5, 129578, 0.0264566, 4.89775e+06
WIDA*, pdb555, 1.5, 15puzzle,"12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1", 59, 61.5, 167461, 0.0336503, 4.97651e+06
WIDA*, pdb555, 1.5, 15puzzle,"10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12", 62, 66, 116533, 0.0255444, 4.56198e+06
WIDA*, pdb555, 1.5, 15puzzle,"10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5", 62, 66, 901343, 0.174088, 5.1775e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6", 74, 78, 157646, 0.0324345, 4.86044e+06
WIDA*, pdb555, 1.5, 15puzzle,"12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1", 60, 63, 10249, 0.00226069, 4.53357e+06
WIDA*, pdb555, 1.5, 15puzzle,"13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11", 43, 43.5, 62630, 0.0210521, 2.97501e+06
WIDA*, pdb555, 1.5, 15puzzle,"3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8", 55, 43.5, 8459947, 1.72735, 4.89764e+06
WIDA*, pdb555, 1.5, 15puzzle,"5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14", 54, 57, 16033, 0.00319856, 5.01256e+06
WIDA*, pdb555, 1.5, 15puzzle,"5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13", 55, 55.5, 69793, 0.0140654, 4.96203e+06
WIDA*, pdb555, 1.5, 15puzzle,"15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3", 61, 58.5, 801407, 0.161299, 4.96845e+06
WIDA*, pdb555, 1.5, 15puzzle,"11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B", 72, 72, 360621, 0.0737849, 4.88746e+06
WIDA*, pdb555, 1.5, 15puzzle,"6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15", 47, 49.5, 39757, 0.00812862, 4.89099e+06
WIDA*, pdb555, 1.5, 15puzzle,"4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5", 61, 64.5, 23000, 0.00481891, 4.77286e+06
WIDA*, pdb555, 1.5, 15puzzle,"8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3", 58, 63, 54712, 0.0115539, 4.73536e+06
WIDA*, pdb555, 1.5, 15puzzle,"5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1", 55, 49.5, 598932, 0.121406, 4.9333e+06
WIDA*, pdb555, 1.5, 15puzzle,"7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14", 51, 49.5, 71534, 0.0140552, 5.08949e+06
WIDA*, pdb555, 1.5, 15puzzle,"11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2", 65, 64.5, 2054630, 0.415153, 4.9491e+06
WIDA*, pdb555, 1.5, 15puzzle,"7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9", 50, 45, 368914, 0.0725967, 5.08169e+06
WIDA*, pdb555, 1.5, 15puzzle,"7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9", 53, 46.5, 421977, 0.0844773, 4.99515e+06
WIDA*, pdb555, 1.5, 15puzzle,"6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3", 59, 55.5, 889100, 0.170837, 5.20437e+06
WIDA*, pdb555, 1.5, 15puzzle,"15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11", 54, 48, 137703, 0.027291, 5.04573e+06
WIDA*, pdb555, 1.5, 15puzzle,"5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14", 48, 48, 67747, 0.0139674, 4.85036e+06
WIDA*, pdb555, 1.5, 15puzzle,"12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6", 58, 60, 4308664, 0.853516, 5.04813e+06
WIDA*, pdb555, 1.5, 15puzzle,"6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13", 55, 55.5, 10981, 0.00268594, 4.08833e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5", 66, 72, 58806, 0.0122402, 4.80433e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11", 50, 45, 4403613, 0.903421, 4.87438e+06
WIDA*, pdb555, 1.5, 15puzzle,"15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4", 63, 61.5, 960239, 0.200352, 4.79277e+06
WIDA*, pdb555, 1.5, 15puzzle,"B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7", 56, 51, 229251, 0.0473096, 4.84576e+06
WIDA*, pdb555, 1.5, 15puzzle,"3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11", 59, 61.5, 50365, 0.0141467, 3.5602e+06
WIDA*, pdb555, 1.5, 15puzzle,"B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15", 48, 45, 54792, 0.0132088, 4.14813e+06
WIDA*, pdb555, 1.5, 15puzzle,"11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2", 61, 64.5, 80030, 0.0219191, 3.65115e+06
WIDA*, pdb555, 1.5, 15puzzle,"13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7", 57, 61.5, 22399, 0.00460119, 4.86809e+06
WIDA*, pdb555, 1.5, 15puzzle,"14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B", 66, 63, 268464, 0.0699548, 3.83768e+06
WIDA*, pdb555, 1.5, 15puzzle,"12 3 9 1 4 5 10 2 6 11 15 B 14 7 13 8", 53, 49.5, 548296, 0.112197, 4.88692e+06
WIDA*, pdb555, 1.5, 15puzzle,"15 8 10 7 B 12 14 1 5 9 6 3 13 11 4 2", 59, 61.5, 188038, 0.0380244, 4.94519e+06
WIDA*, pdb555, 1.5, 15puzzle,"4 7 13 10 1 2 9 6 12 8 14 5 3 B 11 15", 48, 48, 84496, 0.0171108, 4.93816e+06
WIDA*, pdb555, 1.5, 15puzzle,"6 B 5 10 11 12 9 2 1 7 4 3 14 8 13 15", 53, 55.5, 2012, 0.000558858, 3.6002e+06
WIDA*, pdb555, 1.5, 15puzzle,"9 5 11 10 13 B 2 1 8 6 14 12 4 7 3 15", 54, 54, 94514, 0.0188783, 5.00648e+06
WIDA*, pdb555, 1.5, 15puzzle,"15 2 12 11 14 13 9 5 1 3 8 7 B 10 6 4", 69, 67.5, 306752, 0.0641941, 4.77851e+06
WIDA*, pdb555, 1.5, 15puzzle,"11 1 7 4 10 13 3 8 9 14 B 15 6 5 2 12", 56, 57, 265957, 0.055514, 4.79081e+06
WIDA*, pdb555, 1.5, 15puzzle,"5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3", 54, 54, 56957, 0.012441, 4.57816e+06
WIDA*, pdb555, 1.5, 15puzzle,"9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4", 63, 64.5, 205492, 0.0530534, 3.8733e+06
WIDA*, pdb555, 1.5, 15puzzle,"3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1", 57, 55.5, 1182847, 0.260517, 4.54039e+06
WIDA*, pdb555, 1.5, 15puzzle,"13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15", 50, 51, 228032, 0.0445417, 5.11951e+06
WIDA*, pdb555, 1.5, 15puzzle,"5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2", 65, 67.5, 5748, 0.00127557, 4.50621e+06
WIDA*, pdb555, 1.5, 15puzzle,"4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14", 54, 51, 104272, 0.0209508, 4.97699e+06
WIDA*, pdb555, 1.5, 15puzzle,"1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10", 53, 52.5, 1140715, 0.243459, 4.68544e+06
WIDA*, pdb555, 1.5, 15puzzle,"9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3", 50, 51, 21225, 0.00656532, 3.2329e+06
WIDA*, pdb555, 1.5, 15puzzle,"B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6", 56, 54, 47166, 0.013217, 3.56859e+06
WIDA*, pdb555, 1.5, 15puzzle,"7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8", 61, 58.5, 279720, 0.0659872, 4.23901e+06
WIDA*, pdb555, 1.5, 15puzzle,"11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15", 58, 60, 185495, 0.0534871, 3.46804e+06
